City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind_Speed
samarai,PG,-10.6167,150.6667,26.71,77,51,3.16
beloha,MG,-25.1667,45.05,19.31,92,0,0.73
busselton,AU,-33.65,115.3333,11.96,86,0,2.42
gao,ML,16.6362,1.637,31.35,26,60,2.89
vanimo,PG,-2.6741,141.3028,26.51,80,100,0.45
saint-pierre,RE,-21.3393,55.4781,21.82,68,0,3.09
necochea,AR,-38.5473,-58.7368,8.91,58,24,5.26
hermanus,ZA,-34.4187,19.2345,14.89,90,85,2.25
constitucion,CL,-35.3333,-72.4167,11.23,73,41,4.31
brigantine,US,39.4101,-74.3646,15.97,64,94,6.17
ilulissat,GL,69.2167,-51.1,1.37,67,100,2.13
ancud,CL,-41.8697,-73.8203,5.57,71,4,1.67
asau,RO,46.4333,26.4,17.19,88,42,2.46
mitsamiouli,KM,-11.3847,43.2844,26.42,72,28,2.45
la ronge,CA,55.1001,-105.2842,16.14,39,40,4.63
qaanaaq,GL,77.484,-69.3632,-7.11,85,45,2.4
sinnamary,GF,5.3833,-52.95,26.27,84,13,3.74
leningradskiy,RU,69.3833,178.4167,9.34,59,100,2.64
saint-michel-des-saints,CA,46.6834,-73.9159,21.08,36,63,0.83
faanui,PF,-16.4833,-151.75,27.04,65,6,5.35
boke,GN,10.9409,-14.2967,24.35,91,100,1.2
ravar,IR,31.2656,56.8055,25.05,11,0,3.13
krasnoselkup,RU,65.7,82.4667,3.57,79,0,3.87
touros,BR,-5.1989,-35.4608,24.88,84,53,4.15
bengkulu,ID,-3.8004,102.2655,23.69,82,100,1.33
santiago,CL,-33.4569,-70.6483,19.97,45,40,4.12
sao filipe,CV,14.8961,-24.4956,21.81,79,0,4.58
butaritari,KI,3.0707,172.7902,27.48,77,92,8.12
manggar,ID,-2.8833,108.2667,25.66,86,100,3.04
iqaluit,CA,63.7506,-68.5145,-8.5,72,75,12.35
bulgan,MN,48.8125,103.5347,12.87,43,62,1.41
cabo san lucas,MX,22.8909,-109.9124,29.23,64,8,5.34
bressuire,FR,46.9167,-0.5,11.24,96,25,3.63
itaituba,BR,-4.2761,-55.9836,29.09,70,20,0.0
san juan,AR,-31.5375,-68.5364,10.09,60,99,7.7
avarua,CK,-21.2078,-159.775,28.03,69,7,2.57
dikson,RU,73.5069,80.5464,-7.74,96,76,1.78
kenai,US,60.5544,-151.2583,9.03,75,40,3.6
port elizabeth,ZA,-33.918,25.5701,17.16,77,20,8.23
ambilobe,MG,-13.2,49.05,20.62,93,20,1.37
namibe,AO,-15.1961,12.1522,19.72,70,0,2.51
marsh harbour,BS,26.5412,-77.0636,25.88,71,46,6.78
sao joao da barra,BR,-21.6403,-41.0511,22.05,77,0,4.7
kuah,MY,6.3265,99.8432,25.99,94,20,0.0
bonavista,CA,48.6499,-53.1147,6.6,70,37,6.74
coquimbo,CL,-29.9533,-71.3436,14.85,88,20,5.66
esquias,HN,14.7333,-87.3667,29.92,48,59,2.08
tiksi,RU,71.6872,128.8694,-5.01,89,99,3.89
east london,ZA,-33.0153,27.9116,17.72,71,14,7.18
praia,CV,14.9215,-23.5087,22.3,73,20,6.17
arrecife,ES,28.963,-13.5477,19.99,64,20,5.66
kruisfontein,ZA,-34.0033,24.7314,15.06,85,24,6.06
yashkul,RU,46.1711,45.3435,13.86,59,62,3.88
cayenne,GF,4.9333,-52.3333,28.38,4,0,3.6
barugo,PH,11.3242,124.7383,25.25,93,100,1.88
whitianga,NZ,-36.8333,175.7,14.93,69,98,2.29
san andres,CO,12.5847,-81.7006,29.01,79,75,5.14
sola,VU,-13.8833,167.55,27.37,78,20,0.0
harper,LR,4.375,-7.7169,25.36,85,99,3.16
shanting,CN,35.0753,117.4578,15.98,37,84,1.21
longyearbyen,SJ,78.2186,15.6401,4.91,75,75,4.12
kailua,US,21.4022,-157.7394,27.02,62,0,3.13
byron bay,AU,-28.65,153.6167,15.95,90,51,3.66
sexsmith,CA,55.35,-118.786,15.64,44,75,2.57
gladstone,AU,-23.85,151.25,18.96,77,88,3.09
thompson,CA,55.7435,-97.8558,14.09,38,75,4.63
sorland,NO,67.667,12.6934,8.92,86,97,8.11
meulaboh,ID,4.1363,96.1285,24.73,86,94,1.62
mehamn,NO,71.0357,27.8492,8.95,64,80,5.94
luanda,AO,-8.8368,13.2343,22.0,88,20,2.57
brawley,US,32.9787,-115.5303,37.42,7,0,5.03
vostok,RU,46.4856,135.8833,14.18,86,96,1.49
kloulklubed,PW,7.0419,134.2556,25.2,81,100,3.51
vestmannaeyjar,IS,63.4427,-20.2734,7.61,70,33,1.58
kargasok,RU,59.0556,80.8572,12.09,72,91,3.33
west wendover,US,40.7391,-114.0733,25.55,17,7,3.85
aksarka,RU,66.5606,67.7975,5.93,67,100,6.32
mahebourg,MU,-20.4081,57.7,20.16,94,40,1.54
katobu,ID,-4.9408,122.5276,23.86,94,100,0.67
bolnisi,GE,41.4479,44.5384,12.77,86,36,1.49
port-gentil,GA,-0.7193,8.7815,23.98,88,20,4.12
nicoya,CR,10.1483,-85.452,27.83,74,100,2.21
alta floresta,BR,-9.8756,-56.0861,30.9,51,20,3.09
soe,ID,-9.8607,124.284,18.7,96,99,1.58
luderitz,NA,-26.6481,15.1594,14.1,80,4,2.72
lakatoro,VU,-16.0999,167.4164,27.1,74,70,3.5
terra santa,BR,-2.1042,-56.4869,25.5,80,29,1.38
victoria,HK,22.2855,114.1577,25.75,94,40,2.68
vao,NC,-22.6667,167.4833,23.61,75,2,2.36
jardim do serido,BR,-6.5844,-36.7744,23.4,85,100,4.72
mahalapye,BW,-23.1041,26.8142,17.33,33,0,1.84
along,IN,28.1667,94.7667,22.46,98,96,0.38
chapais,CA,49.7834,-74.8492,16.88,48,100,2.29
villa rica,US,33.7321,-84.9191,20.16,95,100,4.21
wundanyi,KE,-3.4019,38.364,16.21,88,100,3.25
carnaiba,BR,-8.7,-37.6667,21.49,94,100,3.72
iberia,US,29.9502,-91.7507,27.24,68,96,5.75
sapele,NG,5.8941,5.6767,23.45,95,9,1.2
zyrardow,PL,52.0488,20.446,10.9,100,29,4.3
bafang,CM,5.1563,10.1788,16.9,97,34,0.57
nikolskoye,RU,59.7035,30.7861,6.77,73,81,2.43
geraldton,AU,-28.7667,114.6,16.23,77,100,4.63
boguchany,RU,58.3814,97.4531,9.68,90,3,3.0
tari,NG,12.4086,4.4914,34.02,28,1,2.81
ojinaga,MX,29.5667,-104.4167,31.56,19,0,3.6
port augusta,AU,-32.5,137.7667,11.39,93,7,0.78
krasnyy yar,RU,46.5331,48.3456,14.98,52,66,3.95
falciu,RO,46.2961,28.1408,14.35,75,43,6.94
palmer,US,42.1584,-72.3287,22.44,45,98,0.89
chimore,BO,-16.9833,-65.1333,21.75,96,100,1.12
mutata,CO,7.2441,-76.4356,25.27,95,100,0.43
hambantota,LK,6.1241,81.1185,26.19,100,20,5.66
atherton,GB,53.5237,-2.4935,12.95,74,63,1.34
tura,IN,25.5198,90.2201,21.53,93,35,1.51
kaitangata,NZ,-46.2817,169.8464,5.2,78,89,3.64
dongsheng,CN,39.8161,109.9776,12.1,25,0,2.52
paragominas,BR,-2.9667,-47.4833,22.73,97,34,1.56
qingdao,CN,36.0986,120.3719,9.78,81,0,1.0
salalah,OM,17.0151,54.0924,26.83,83,22,2.07
surt,LY,31.2089,16.5887,25.54,40,0,7.84
vagur,FO,61.4732,-6.8119,8.32,80,11,8.99
kondinskoye,RU,59.6481,67.41,17.2,67,100,5.11
pampa,US,35.5362,-100.9599,17.02,55,100,10.29
guerrero negro,MX,27.9769,-114.0611,23.6,48,0,6.44
husavik,IS,66.0449,-17.3389,5.76,91,93,2.19
bentiu,SS,9.2333,29.8333,27.88,56,100,1.84
cape town,ZA,-33.9258,18.4232,15.6,94,100,5.66
vila franca do campo,PT,37.7167,-25.4333,17.23,69,68,2.26
mantua,IT,45.1667,10.7833,21.04,77,4,1.14
shimoda,JP,34.6667,138.95,19.71,83,86,2.51
neuquen,AR,-38.9516,-68.0591,9.94,43,0,0.0
malindi,KE,-3.2175,40.1191,26.36,84,95,6.71
northam,GB,51.0333,-4.2167,12.53,93,2,6.3
san quintin,MX,30.4833,-115.95,20.26,59,0,3.8
aitape,PG,-3.1374,142.3475,26.39,84,100,1.03
kalmunai,LK,7.4167,81.8167,25.8,85,100,3.62
tessalit,ML,20.1986,1.0114,32.92,21,96,2.08
port hedland,AU,-20.3167,118.5667,22.03,83,40,2.57
atar,MR,20.5169,-13.0499,36.06,9,90,3.88
tezu,IN,27.9167,96.1667,23.34,98,99,0.74
eureka,US,40.8021,-124.1637,16.84,73,74,1.79
yining,CN,29.0361,114.5636,18.97,97,100,1.58
abbeville,FR,50.1,1.8333,13.78,86,99,6.8
anadyr,RU,64.75,177.4833,10.0,61,0,4.0
homer,US,59.6425,-151.5483,11.75,75,28,2.51
airai,TL,-8.9266,125.4092,14.73,93,100,1.19
ngama,TD,11.7833,17.1667,34.08,23,68,2.24
malanje,AO,-9.5402,16.341,16.39,52,34,0.23
bama,NG,11.5221,13.6856,30.43,23,4,2.12
kabwe,ZM,-14.4469,28.4464,12.98,40,0,1.87
roald,NO,62.5833,6.1333,10.57,76,0,3.09
butler,US,39.4501,-84.5666,25.91,71,75,3.6
middelburg,ZA,-25.7751,29.4648,12.44,51,0,2.1
bredasdorp,ZA,-34.5322,20.0403,15.23,92,94,0.84
gravdal,NO,68.1214,13.5031,8.94,87,75,3.6
nyaunglebin,MM,17.95,96.7333,24.07,94,99,1.7
mount gambier,AU,-37.8333,140.7667,12.95,100,100,5.14
honolulu,US,21.3069,-157.8583,27.08,59,0,6.71
kawambwa,ZM,-9.7915,29.0791,15.57,56,35,1.24
plettenberg bay,ZA,-34.0527,23.3716,15.48,81,71,2.92
horstel,DE,52.3167,7.5833,15.13,67,100,7.53
bowen,AU,-20.0167,148.2333,19.97,82,7,3.29
iralaya,HN,15.0,-83.2333,27.03,84,99,5.75
sagua la grande,CU,22.8067,-80.0756,28.06,67,77,7.54
sibu,MY,2.3,111.8167,22.85,100,40,2.68
the valley,AI,18.217,-63.0578,28.24,69,20,5.66
bandarbeyla,SO,9.4942,50.8122,26.39,87,40,9.43
dire,ML,12.2833,-10.9667,28.28,53,94,1.44
tiznit,MA,29.5833,-9.5,19.04,61,87,0.33
adra,ES,36.7496,-3.0206,19.1,70,70,3.78
roma,US,43.2128,-75.4557,23.78,50,87,1.34
bambous virieux,MU,-20.3428,57.7575,20.14,94,40,1.54
paamiut,GL,61.994,-49.6678,0.46,58,16,2.77
dawei,MM,14.0833,98.2,24.84,93,100,0.55
la romana,DO,18.4273,-68.9728,29.2,65,40,4.12
mount isa,AU,-20.7333,139.5,11.87,94,0,2.06
muzhi,RU,65.3667,64.6667,12.04,62,100,7.84
yarim,YE,14.298,44.3779,16.36,21,28,2.95
wangjing,IN,24.6,94.0333,18.71,97,52,0.45
beyneu,KZ,45.3167,55.2,16.3,48,100,5.86
ahuimanu,US,21.4447,-157.8378,26.91,60,12,3.13
mao,ES,39.8885,4.2658,15.31,82,20,2.06
portales,US,34.1862,-103.3344,22.18,28,45,3.58
nemuro,JP,43.3236,145.575,9.16,93,70,4.26
nueva germania,PY,-23.9,-56.5667,23.0,60,20,2.28
vila velha,BR,-20.3297,-40.2925,23.3,81,0,0.0
brokopondo,SR,4.75,-55.1667,25.91,84,24,3.11
cockburn town,TC,21.4612,-71.1419,26.98,65,40,6.17
shenzhen,CN,22.5455,114.0683,25.9,97,35,1.64
hofn,IS,64.2539,-15.2082,6.52,85,97,1.23
liverpool,GB,53.4106,-2.9779,13.55,76,20,5.66
ruidoso,US,33.3317,-105.673,22.0,9,0,5.14
yulara,AU,-25.2406,130.9889,12.67,69,1,3.4
walvis bay,NA,-22.9575,14.5053,11.53,100,0,1.54
olinda,BR,-8.0089,-34.8553,22.85,94,75,2.06
pangnirtung,CA,66.1451,-65.7125,-3.0,68,75,5.66
alofi,NU,-19.0595,-169.9187,26.94,78,75,5.14
deputatskiy,RU,69.3,139.9,-2.45,87,99,2.76
gushikawa,JP,26.3544,127.8686,23.17,98,100,3.6
grand gaube,MU,-20.0064,57.6608,21.88,78,30,0.89
padang,ID,-0.9492,100.3543,25.09,70,100,2.08
cotonou,BJ,6.3654,2.4183,27.99,78,20,4.12
biloela,AU,-24.4167,150.5,17.94,80,27,3.95
bubaque,GW,11.2833,-15.8333,25.59,76,98,1.5
yumen,CN,40.2833,97.2,16.81,13,100,5.77
dubbo,AU,-32.25,148.6167,12.07,94,100,3.6
mana,GF,5.6592,-53.7767,26.1,87,13,3.66
fairbanks,US,64.8378,-147.7164,17.38,38,75,6.17
tarata,BO,-17.6167,-66.0167,20.68,50,100,3.02
kaeo,NZ,-35.1,173.7833,12.96,95,100,1.43
katsuura,JP,35.1333,140.3,19.95,76,35,2.72
skuodas,LT,56.2667,21.5333,8.88,95,100,2.86
montrose,US,38.4166,-108.2673,15.25,21,1,6.35
hervey bay,AU,-25.2986,152.8535,20.73,73,79,5.86
bulawayo,ZW,-20.15,28.5833,14.43,43,0,2.07
antofagasta,CL,-23.65,-70.4,15.6,79,29,2.21
sibolga,ID,1.7427,98.7792,24.66,80,100,1.25
paradise valley,US,33.5312,-111.9427,38.23,9,0,2.68
sambava,MG,-14.2667,50.1667,21.51,90,9,2.87
manzanillo,CU,20.3433,-77.1167,26.2,76,84,1.69
puerto baquerizo moreno,EC,-0.9,-89.6,25.55,69,75,6.17
yantikovo,RU,55.8216,47.9104,4.4,96,45,2.74
mayo,US,38.8876,-76.5119,20.31,54,100,5.14
williamsburg,US,37.2707,-76.7075,17.65,85,40,3.6
ajdabiya,LY,30.7554,20.2263,28.84,14,0,5.22
hatillo,PR,18.4863,-66.8254,26.11,84,76,1.34
rovaniemi,FI,66.5,25.7167,13.67,35,0,4.12
bandarban,BD,22.1965,92.2262,22.96,97,6,1.23
waddan,LY,29.1614,16.139,31.69,8,0,10.48
kupang,ID,-10.1667,123.5833,25.02,83,88,3.49
zacapoaxtla,MX,19.8833,-97.5833,25.49,45,100,4.56
longonjo,AO,-12.9067,15.2533,13.36,39,24,1.17
kaniama,CD,-7.5667,24.1833,20.11,80,42,0.65
pochutla,MX,15.7432,-96.4661,29.9,65,100,2.93
puerto maldonado,PE,-12.6,-69.1833,22.22,94,75,1.54
stornoway,GB,58.2093,-6.3865,8.34,80,17,5.66
saint george,US,37.1041,-113.5841,34.65,12,0,1.34
cidreira,BR,-30.1811,-50.2056,18.8,86,8,3.88
piacabucu,BR,-10.4056,-36.4344,24.23,88,100,5.89
panjakent,TJ,39.4952,67.6093,22.12,39,98,0.57
cabedelo,BR,-6.9811,-34.8339,24.37,86,100,4.83
san fernando,PH,15.0286,120.6898,26.85,87,100,0.44
saldanha,ZA,-33.0117,17.9442,16.03,90,0,2.02
xiangfan,CN,32.0422,112.1448,16.04,70,100,3.5
gizo,SB,-8.103,156.8419,28.14,75,27,2.52
cedar city,US,37.6775,-113.0619,25.54,14,0,3.99
porto walter,BR,-8.2686,-72.7439,24.27,95,99,0.59
salvador,SV,13.8333,-88.9167,23.36,89,100,1.9
filadelfia,US,39.9523,-75.1638,21.91,46,99,2.24
luganville,VU,-15.5333,167.1667,27.01,74,25,2.27
kungurtug,RU,50.5994,97.5228,14.29,61,90,0.93
morant bay,JM,17.8815,-76.4093,28.79,72,50,5.73
karachi,PK,24.9056,67.0822,28.9,74,75,6.17
nabire,ID,-3.3667,135.4833,24.76,92,99,1.53
riachao das neves,BR,-11.7461,-44.91,24.35,41,17,0.85
lumberton,US,34.6182,-79.0086,25.81,55,32,3.24
shubarshi,KZ,48.5872,57.1869,11.88,58,67,4.23
develi,TR,38.3906,35.4922,8.64,65,0,0.6
blind river,CA,46.1834,-82.9582,16.06,65,100,5.39
port blair,IN,11.6667,92.75,28.02,89,75,3.6
lusambo,CD,-4.9667,23.45,19.99,98,89,0.74
katete,UG,-0.7818,29.7544,16.44,98,100,1.01
dunedin,NZ,-45.8742,170.5036,7.11,60,68,1.79
hami,CN,42.8,93.45,25.45,13,100,2.48
san remigio,PH,11.0809,123.9381,27.35,81,97,2.25
shahpur,IN,16.7,76.8333,28.98,52,16,6.21
turukhansk,RU,65.8167,87.9833,4.23,82,53,3.94
taltal,CL,-25.4,-70.4833,16.68,72,44,2.07
kalispell,US,48.1958,-114.3129,10.94,82,100,4.92
comodoro rivadavia,AR,-45.8667,-67.5,5.92,42,0,3.09
calafell,ES,41.2,1.5683,19.46,83,99,2.78
bayanday,RU,53.0661,105.5139,10.97,42,2,0.68
waterloo,CA,43.4668,-80.5164,17.14,76,100,6.17
zhuhai,CN,22.2769,113.5678,25.05,100,40,2.06
te anau,NZ,-45.4167,167.7167,3.69,86,13,0.63
fort nelson,CA,58.8053,-122.7002,8.77,87,100,4.12
isangel,VU,-19.55,169.2667,26.06,83,20,2.06
teya,RU,60.3778,92.6267,7.31,85,6,1.49
kahului,US,20.8947,-156.47,25.47,77,4,6.71
codrington,AU,-38.2667,141.9667,13.59,87,86,4.78
hasaki,JP,35.7333,140.8333,19.22,74,21,3.11
belyy yar,RU,53.6039,91.3903,16.03,61,0,2.0
yar-sale,RU,66.8333,70.8333,2.59,76,88,4.85
ginda,IN,30.6945,78.4932,13.83,57,3,2.36
yarmouth,US,41.7057,-70.2286,14.86,59,78,1.34
dhidhdhoo,MV,6.8833,73.1,27.77,78,100,4.83
faya,SA,18.3851,42.4509,21.29,47,52,2.07
fereydunshahr,IR,32.941,50.121,8.76,33,0,1.68
puerto escondido,MX,15.85,-97.0667,29.35,72,100,3.34
kijang,KR,35.2442,129.2139,19.85,67,100,2.41
adilpur,PK,27.937,69.3187,31.56,47,0,5.2
ambon,ID,-3.6954,128.1814,26.84,78,97,2.92
saran,FR,47.9501,1.876,15.01,74,0,3.6
saint-joseph,RE,-21.3667,55.6167,21.21,78,22,1.34
dawlatabad,AF,36.4141,64.9053,27.75,23,79,4.76
acarau,BR,-2.8856,-40.12,25.43,86,13,4.31
broome,US,42.2506,-75.833,22.91,52,98,1.34
cienfuegos,CU,22.1461,-80.4356,25.08,94,99,2.57
esso,RU,55.9333,158.7,5.21,100,100,1.53
oranjemund,NA,-28.55,16.4333,12.49,93,3,1.65
troitskoye,RU,52.9821,84.6757,14.86,71,32,3.2
bintulu,MY,3.1667,113.0333,24.95,100,20,1.54
khuzhir,RU,53.1939,107.3397,8.23,55,1,0.69
coahuayana,MX,18.7333,-103.6833,30.06,55,100,3.37
copiapo,CL,-27.3667,-70.3333,14.83,50,44,1.41
sitka,US,57.0531,-135.33,11.13,65,83,3.1
lerwick,GB,60.1545,-1.1494,10.0,83,40,9.71
banda aceh,ID,5.5577,95.3222,26.61,78,97,3.29
odweyne,SO,9.4092,45.064,25.59,51,97,5.03
campo maior,BR,-4.8278,-42.1686,25.01,75,100,2.3
manor,IN,19.75,72.9167,27.69,77,1,2.97
baraboo,US,43.4711,-89.7443,13.64,94,100,3.08
rio gallegos,AR,-51.6226,-69.2181,6.03,70,0,8.75
mahendragarh,IN,28.2833,76.15,29.55,37,0,1.94
saint-philippe,RE,-21.3585,55.7679,21.77,77,7,1.7
vila,PT,42.0304,-8.1588,11.5,72,13,2.45
parrita,CR,9.5201,-84.3225,25.6,88,98,1.56
tabou,CI,4.423,-7.3528,25.47,83,70,2.89
pineville,US,31.3224,-92.4343,28.85,66,81,5.12
ganzhou,CN,28.8184,115.4327,19.16,94,100,2.95
saint-augustin,CA,51.226,-58.6502,12.54,58,100,7.91
romitan,UZ,39.9343,64.3814,24.97,36,0,6.17
cap malheureux,MU,-19.9842,57.6142,21.93,78,25,0.89
naze,JP,28.3667,129.4833,19.51,88,85,3.35
plaridel,PH,14.8872,120.8572,27.82,84,100,0.79
syracuse,IT,37.0881,15.2792,20.65,60,21,2.48
sistranda,NO,63.7256,8.834,7.98,87,100,5.51
sulangan,PH,11.1373,123.7228,28.37,76,91,2.39
fallon,US,39.4735,-118.7774,30.81,12,45,0.42
kharitonovo,RU,61.4009,47.4978,4.74,97,95,0.38
kiunga,PG,-6.1219,141.2906,23.36,97,82,0.45
awjilah,LY,29.1081,21.2869,30.3,10,0,4.1
narsaq,GL,60.9167,-46.05,4.83,48,28,0.28
altus,US,34.6381,-99.334,16.56,65,100,9.26
maceio,BR,-9.6658,-35.7353,22.69,94,100,2.06
dom pedrito,BR,-30.9828,-54.6731,16.69,98,100,0.72
emba,KZ,48.8264,58.1442,11.66,61,61,4.63
beringovskiy,RU,63.05,179.3167,7.45,64,72,2.07
arys,KZ,42.4252,68.795,22.72,36,39,3.15
port moresby,PG,-9.4431,147.1797,22.68,100,100,2.57
nome,US,64.5011,-165.4064,10.65,64,67,5.07
yeppoon,AU,-23.1333,150.7333,17.88,88,99,4.65
khowst,AF,33.3833,69.8833,21.82,43,0,1.39
inta,RU,66.0317,60.1659,11.61,73,100,11.06
mataquescuintla,GT,14.5292,-90.1842,19.97,82,96,1.98
eenhana,NA,-17.4667,16.3333,13.33,32,0,2.35
nayoro,JP,44.3506,142.4578,18.63,61,9,1.18
naliya,IN,23.2667,68.8333,27.24,83,15,5.95
domoni,KM,-12.2569,44.5319,25.4,79,4,3.38
quatre cocos,MU,-20.2078,57.7625,21.72,70,36,3.76
nisia floresta,BR,-6.0911,-35.2086,25.21,94,99,2.84
westport,US,41.1415,-73.3579,17.98,64,90,3.13
mandalgovi,MN,45.7625,106.2708,12.65,21,3,3.64
